applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,description,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-insights-analyst-risk-at-kpp-search-4077890071?trk=public_jobs_topcard-title,,2714169,KPP Search,https://uk.linkedin.com/company/kpp-search?trk=public_jobs_topcard-org-name,Full-time,"KPP have partnered with an ASX Listed Australian Institution who are searching for their next Data Insights Specialist to join their Sydney based team.




A unique opportunity to work for one of Australia’s most recognised names. The successful candidate will part of a team who drive impactful change through data driven insights across the business with an aggressive process improvement strategy & high growth corporate agenda with Analytics, & Emerging technology at the centre of it all!




Key Responsibilities:




 * The chosen candidate will be a collaborator between data and the business, to make the insights into actionable outcomes and strive for continuous improvement for the Risk domain using advanced analytics tools and techniques.
 * To be the insights SME! This team pride themselves on being a helpful & highly valued luxury within the business who portfolio leaders see the advantage & benefit gained from working closely with to form critical business decisions.
 * You’ll get stuck into developing critical forecasting models and implementing predictive analytics for the strategic initiatives of your business lines whilst always being a trusted advisor throughout.
 * As well as being on top of data integrity by actioning data validation & cleansing, you will transform your data & insights into engaging & thought-provoking presentations & dashboards all to build the bridge between data & corporate strategy.




Key Requirements:




 * A passion for data, analytics and problem solving!
 * Experience using visualisation tools such as Tableau
 * Experience with Python or SQL is highly desirable.
 * You must be confident and refined in your presentation skills & be able to convey complex data & analytical information to stakeholders.
 * We want those with high business acumen & the ability to make data into actionable outcomes.
 * Must share the same positive, growth mindset attitude & be driven by change!




For more information, please apply!",Associate,4077890071,https://au.linkedin.com/jobs/view/data-insights-analyst-risk-at-kpp-search-4077890071?trk=public_jobs_topcard-title,"Sydney, New South Wales, Australia",3 weeks ago,Lee Hine,https://au.linkedin.com/in/leehine,2024-11-19,,"IT Services and IT Consulting, Retail Groceries, and Retail",Data Insights Analyst (Risk),"Analyst, Information Technology, and Other"
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-analyst-at-harrison-ai-4091341191?trk=public_jobs_topcard-title,,13667017,Harrison.ai,https://au.linkedin.com/company/harrison-ai?trk=public_jobs_topcard-org-name,Full-time,"Why join us?



  Do work that matters. We’re pioneering AI software that will help diagnose medical images and raise the standard of healthcare for millions of people every day. 

  Well-funded and global. Annalise.ai has a global presence across APAC, EU and US regions. We’re powered by Harrison.ai (raised Australia’s largest Series B of $129m in 2021).

 Work with a bunch of awesome, genuine people who are passionate about what they do.

  Flexible and remote-friendly working.

 Make an impact. You won’t be another ‘cog in the wheel’ here. We give full trust and autonomy for you to be heard, to work on big & complex projects – and to make a real difference.  

 Grow your career with us. We’re big believers in lifelong learning. You’ll be given a $1000 personal L&D budget, access to LinkedIn Learning, plus opportunities for internal mobility and leadership training to fast-track your career. 

  Generous parental support including 16 weeks gender-neutral paid parental leave and $10,000 support for egg or sperm freezing.  




About Your Role



As a Data Analyst at Annalise.ai/Harrison.ai, you’ll be at the forefront of our data-driven decision-making process. Your insights will directly shape our product development and enhance customer experiences, making you a key player in our mission to scale global healthcare capacity using AI automation.

 

Reporting to the Director of Analytics, you will work within a small team of data and analytics professionals, utilising your strong analytical skills and interpersonal abilities to generate data-driven insights for internal and external stakeholders across customer, commercial, and product domains.

 

The ideal candidate will possess a strong analytical mindset coupled with exceptional interpersonal skills. Proficiency in data analysis tools and techniques is essential, along with the ability to translate findings into actionable insights.






What You'll Do:
 * Generate actionable insights to support decision-making across the organisation,
 * Investigate and troubleshoot issues at customer deployments,
 * Develop and maintain regular reports and dashboards for key stakeholders,
 * Assist in the collection, cleaning, and organisation of data from various sources, and
 * Present findings and recommendations to technical and non-technical audiences
   




What You Bring:
 * Bachelor’s degree in data science, statistics, mathematics, computer science, information systems, economics, engineering, or a related quantitative field,
 * Proven experience in data analysis and visualisation e.g. Tableau, Power BI or similar,
 * Proficiency coding in either SQL, Python or R for data manipulation and analysis,
 * Strong problem-solving skills and attention to detail, and
 * Excellent communication skills, both written and verbal
   




Nice To Haves:
 * Previous experience working in a medical device environment or other highly regulated field, and
 * Previous experience working with data from a health domain
   







What we’re about 

We're problem solvers, redefining what’s possible in medical imaging through AI Technology. Our mission is to raise the standard of healthcare for millions of patients every day.



Yes, we’re a technology company and yes, we’re leveraging the latest AI technologies, but people are at the heart of everything we do. 



Annalise.ai was formed in early 2019, powered by Harrison.ai. Since then, we’ve scaled rapidly and we’re focused on creating AI solutions that help radiologists diagnose medical images.



Our first product, the world's most comprehensive AI clinical decision-support solution for chest x-rays, is already in made available to 1 in 4 radiologists in Australia and rolling out to hundreds more, globally. This solution is capable of detecting 124 findings and was recently featured in a peer-reviewed publication, Lancet Digital Health journal. 



And we’re just getting started.  



Help us shape the future of AI in medical imaging. And most importantly, help us make a real difference in people’s lives.   



What’s next?

If you’re inspired by what we're up to, please apply now and we'll be in touch soon.



We are proud to be an Equal Opportunity Employer. Diversity’s not a buzzword here, it’s in our DNA. Diverse perspectives shape our culture and make our work better. That’s why we’re committed to building inclusive teams that represent a variety of backgrounds and skills. If you need any reasonable adjustments, accessibility assistance or would like to note which pronouns you use at any stage of our hiring process, just contact us at accommodations: people@annalise.ai. We look forward to hearing from you.",Not Applicable,4091341191,https://au.linkedin.com/jobs/view/data-analyst-at-harrison-ai-4091341191?trk=public_jobs_topcard-title,"Sydney, New South Wales, Australia",5 days ago,,,2024-12-05,,Hospitals and Health Care,Data Analyst,Information Technology
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-analyst-6-month-contract-perth-remote-working-%24800-to-%241000-per-day-immediate-start-sql-tableau-at-tech-data-people-4075403297?trk=public_jobs_topcard-title,,100877600,Tech & Data People,https://au.linkedin.com/company/tech-data-people?trk=public_jobs_topcard-org-name,Contract,"Data Analyst – 6-month contract – Perth/Remote working - $800 to $1000 per day - Immediate start




Tech and Data People are working with a company who are recognised as being an employer of choice for Australia. With an enviable culture, and working environment, we are looking for a Data Analyst on a 6 month daily rate contract paring $800 - $1000 per day working remotely. This role is a hybrid position and can be based anywhere in Australia.




We are looking for candidates with strong Data Analyst experience with Tableau and SQL who are available for an immediate start.




We’re seeking an experienced Data Analyst with strong SQL and Tableau skills that support BI/Data Analytics. The Data Analyst will work closely with stakeholders to communicate progress, design and maintain data integration processes, and support both spatial and non-spatial data management.




What We’re Looking For:




 * Proficiency in SQL and Tableau for data analysis and visualisation.
 * Strong analytical experience.
 * Ability to collaborate with stakeholders and communicate insights effectively.
 * Experience in data warehousing and database technologies.




If you're interested in discussing this opportunity further or would like a more general chat about your career in Data, get in touch and we can arrange a time.",Mid-Senior level,4075403297,https://au.linkedin.com/jobs/view/data-analyst-6-month-contract-perth-remote-working-%24800-to-%241000-per-day-immediate-start-sql-tableau-at-tech-data-people-4075403297?trk=public_jobs_topcard-title,Australia,3 weeks ago,Stephen Murfitt,https://au.linkedin.com/in/stephenmurfitt,2024-11-13,$100.00/hr - $130.00/hr,Staffing and Recruiting,Data Analyst - 6 month contract - Perth/Remote working - $800 to $1000 per day - Immediate start - SQL/Tableau,Information Technology and Analyst
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-analyst-esg-at-map-talent-4073973066?trk=public_jobs_topcard-title,,2702373,MAP TALENT,https://au.linkedin.com/company/maptalentgroup?trk=public_jobs_topcard-org-name,Full-time,"Job Title: Data Analyst




About Us

We’re an ambitious start-up that thrives on innovation and energy. Our mission is to deliver cutting-edge data solutions with a focus on ESG (Environmental, Social, Governance). We’re looking for a versatile Data Specialist who’s ready to dive into a fast-paced environment, take on diverse challenges, and make a real impact.




Key Responsibilities

 * Build insightful dashboards and reports using Power BI or AWS Quicksight.
 * Work with AWS tools to manage and analyze large datasets.
 * Collaborate across teams to deliver end-to-end data solutions tailored to client needs.
 * Contribute to ESG-focused data projects, aligning insights with client goals.




Essential Skills

 * Strong proficiency in SQL and Python, with 2-3 years of experience.
 * Experience in data visualization tools like Power BI or AWS Quicksight.




Nice-to-Haves

 * Experience working in a start-up environment or similarly fast-paced roles.
 * An understanding or interest in ESG principles and data-driven sustainability.




What We’re Looking For

 * Adaptability: Someone who’s eager to tackle a wide variety of tasks and projects.
 * Energy and Enthusiasm: Start-up life can be fast and unpredictable. A high-energy attitude and a willingness to jump in are essential.
 * Genuine Passion: We want people who care deeply about data, problem-solving, and sustainability.
 * Collaborative Mindset: You thrive in team environments and enjoy building solutions together.
 * Pragmatic Problem-Solver: You focus on practical, actionable solutions, not just theory or concepts.




Why Join Us?

 * Be part of a growing start-up where your ideas and contributions have a direct impact.
 * Collaborate with a passionate team focused on ESG and sustainability.
 * Enjoy a flexible, dynamic work environment (we don’t work weekends, but things can get busy!).",Mid-Senior level,4073973066,https://au.linkedin.com/jobs/view/data-analyst-esg-at-map-talent-4073973066?trk=public_jobs_topcard-title,"Sydney, New South Wales, Australia",3 weeks ago,Adam Li,https://au.linkedin.com/in/ngaijunli,2024-11-14,"A$90,000.00/yr - A$110,000.00/yr",Financial Services,Data Analyst (ESG),Information Technology
43 applicants,EXTERNAL,https://www.workforceaustralia.gov.au/individuals/jobs/details/2335688770,,69326792,Workforce Australia for Individuals,https://www.linkedin.com/company/workforceaustraliaforindividuals?trk=public_jobs_topcard-org-name,Full-time,"* APS Level 5
 * Multiple Locations/National
 * Ongoing & Non Ongoing
   
   

About The NDIS Quality And Safeguards Commission

The NDIS Quality and Safeguards Commission (the NDIS Commission) is an independent agency established on 1 July to improve the quality and safety of NDIS supports and services. The NDIS Commission is the dedicated national regulator of NDIS service providers in Australia and a non-corporate entity under the Public Governance, Performance and Accountability Act .

Reporting and Insights Team

The Reporting and Insights Team is responsible for the delivery of high-quality data products that underpin data-driven decision-making and enable the NDIS Commission to ensure people with disability receive quality and safe supports and services under the NDIS. The team is accountable for providing business intelligence to operational units, reporting on key metrics and trends, and developing models to enhance Commission data.

Candidate Information Pack - APS5


 * Click here to view more detail / apply for Data Analyst",Entry level,4079480592,https://au.linkedin.com/jobs/view/data-analyst-at-workforce-australia-for-individuals-4079480592?trk=public_jobs_topcard-title,"Tiona, New South Wales, Australia",2 weeks ago,,,2024-11-21,,Government Administration,Data Analyst,Information Technology
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-analyst-at-wt-australia-4085870005?trk=public_jobs_topcard-title,,1204607,WT (Australia),https://au.linkedin.com/company/wt-australia?trk=public_jobs_topcard-org-name,Full-time,"At WT, we empower our clients to grow, inspiring confidence through our independent cost management and advisory services. Operating for 75 years, our expertise spans the building, construction, and infrastructure sectors.



We support our clients with an award-winning team of specialists in portfolio and program advisory, quantity surveying and cost management, commercial and financial advisory, carbon and sustainability, and asset and facilities management.



With a global footprint covering Australia, New Zealand, Asia, India, Middle East, North America, Africa, the UK and Europe, our clients can tap into the collective thinking of over 2,000 of the best people in the industry, operating from over 70 offices.





Job Description



We are seeking a Data Analyst for our dynamic Digitals team, you will tackle sophisticated Big Data challenges, crafting analytical solutions that address complex problems for our clients. You are an expert in Power BI and your role involves leveraging your extensive knowledge in data engineering, statistics, and mathematical tools to deliver actionable insights and solutions that meet our clients' specific needs. Collaborating closely with Business Analysts and Software Engineers, you will play a pivotal role in steering projects towards their strategic objectives.



Core responsibilities:



Data Analysis and Solution Development:



 * Develop and implement advanced analytical solutions to complex data-driven problems, ensuring high-end results for our clients, specifically in the Microsoft Power Platform and MS Azure.
 * Utilize statistical methods and data analytics approaches to extract insights and inform decision-making.
 * Design, develop, deploy and maintain client facing products based on MS Power BI and SharePoint.

Collaborative Project Execution:



 * Work in tandem with Business Analysts and Software Engineers to devise and execute optimal strategies for client projects.
 * Participate in cross-functional teams to ensure the integration of analytical solutions with broader project goals.

Technical Proficiency and Innovation:



 * Proficient in Power BI.
 * Demonstrate expertise in various ETL techniques and frameworks, both on-premises and cloud-based (particularly Azure), specifically within Power BI
 * Maintain proficiency in Python, JavaScript, SQL, and other data visualization tools.

Communication and Reporting:



 * Effectively communicate complex analytical concepts and findings to both technical and non-technical stakeholders.
 * Prepare clear, comprehensive reports and presentations that articulate the value and impact of analytical solutions.
   
   

Qualifications


 * Bachelor's degree or higher in computer science, data analytics, data science, data engineering, statistics or related field
 * Proficiency in Power BI and/or Power Platform.
 * Proficiency in Python, JavaScript, SQL,
 * Experience with MS Sharepoint
 * 2-5 years solid experience in creating mathematical and analytical solutions to data-driven problems.
 * Strong background in various ETL techniques and frameworks.
 * Experience with Azure or similar cloud-based solutions.
 * Deep understanding of data processing, data ingestion, and statistical analysis.
 * Excellent communication and interpersonal skills, able to articulate complex data concepts in a clear and accessible manner.
 * Energetic and passionate about advancing technology standards in the field of data analysis.
   
   

Additional Information



At WT, in addition to your competitive salary we offer many perks including:



 * Bi-annual bonus scheme
 * Paid professional memberships
 * Wellbeing days- time to focus on your wellbeing and the community
 * WT’s balanced way of working
 * When you're working from the office, you'll be in an award-winning office fit-out which supports flexible and activity based working in a prime location with amazing views

If you're keen to begin your career with an international cost consultancy at the forefront of Australia's major construction across all sectors: commercial, retail, residential, mixed-use, infrastructure and health, apply now.



Please note: candidates must have full Australian working rights and be located in Melbourne",Mid-Senior level,4085870005,https://au.linkedin.com/jobs/view/data-analyst-at-wt-australia-4085870005?trk=public_jobs_topcard-title,"Southbank, Victoria, Australia",1 week ago,,,2024-11-27,,Construction,Data Analyst,Engineering
161 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-scientist-at-thedrivegroup-4082696454?trk=public_jobs_topcard-title,,6576536,TheDriveGroup,https://au.linkedin.com/company/thedrivegroup?trk=public_jobs_topcard-org-name,Contract,"A Mid- level Data Science role with a best-in-class Aussie organisation.




Our client is looking for a skilled Mid- level Data Scientist to join their team and work on developing logic models and data analysis to help them accurately forecast demand of products and the sustainability of them.




You will bring expertise and knowledge of a variety of technology, best practise and agile methodologies, to build data science solutions. Your role will be collaborative, interacting with other technical squads and business-facing stakeholders in order to deliver technical solutions.







Who You’re Joining:






You will be joining a high-performing data science team based in Brisbane, you will be working end-to-end on a variety of models and analytical products. You will have the opportunity to work with senior stakeholders across the business and collaborate with cross-functional technical teams.




What You’ll Do:




 * Solve complex data problems, building logic models and performing data analysis.
 * Write code with Python and analyse the data.
 * Work with other data professionals in the team to deliver outcomes.
 * Provide actionable insights and improve performance of the products.
 * Present to business users key findings and outcomes from the data.
 * A project in future you will move onto will be focused on engine optimisation models.




Who You Are:




 * You must have a minimum of 3 years commercial experience
 * You must have at minimum of 3 years experience in a Data Science role
 * You are technically proficient in Python




Please note – Candidates must be based in Brisbane as this role is hybrid, and we require candidates with full working rights.




On offer is an opportunity to learn from the best, gain more training on the latest tech and tools and long term opportunity!




If you have any questions about this role or others we have available you can email Laura Nailard directly via laura@thedrivegroup.com.au




For The Latest Jobs, Tech News or to 'Introduce A Friend' for a $1000 Referral Fee - Follow Us On Linkedin:




https://www.linkedin.com/company/thedrivegroup",Mid-Senior level,4082696454,https://au.linkedin.com/jobs/view/data-scientist-at-thedrivegroup-4082696454?trk=public_jobs_topcard-title,"Brisbane, Queensland, Australia",2 days ago,Laura Nailard,https://au.linkedin.com/in/laura-nailard-4b6499102,2024-12-07,A$100.00/hr - A$100.00/hr,Staffing and Recruiting,Data Scientist,Information Technology
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/business-data-analyst-octopus-australia-at-octopus-investments-australia-4048020475?trk=public_jobs_topcard-title,,65020154,Octopus Investments Australia,https://au.linkedin.com/company/octopus-investments?trk=public_jobs_topcard-org-name,Full-time,"Company Description

This is an opportunity to join the Octopus Australia team in our Melbourne office. The successful applicant will be able to join the Octopus Australia team on their mission to accelerate Australia's transition to a future powered by renewable energy.

We’re looking for a Business Data Analyst to work within Business Intelligence unit of the Strategic Finance team at Octopus Australia. This role will build, operate, and maintain the information platform which will underpin information flows of Octopus Australia.

The individual in this position will collaborate across the wider Octopus business to understand how data is used and can enhance operations. They will then interpret these needs into functional specifications and play a role in the execution of technical solutions.

About Octopus Group

Octopus Group is a group of entrepreneurial companies on a mission to invest in the ideas, industries and people that will change the world. We are entrepreneurs and investors, applying our expertise and our clients’ money to build a brighter world for future generations. Octopus Group is one of the largest owners of renewable energy projects in Europe and Australia, owning some 260 assets, on behalf of wholesale and institutional investors.

Octopus Australia

Octopus Australia is a renewable energy fund manager and developer harnessing capital and expertise to accelerate the energy transition, with an operating and development portfolio of over $11bn across wind, solar and battery storage. Octopus Australia is more than just an investment manager, we take a data and technology driven approach to constructing an energy portfolio designed for Australia's clean energy future.

Our team of over 50 highly skilled professionals across Melbourne and Sydney, have a unique blend of skills and expertise covering all facets of the renewable energy industry. This allows us to manage projects across their entire lifecycle and create an integrated portfolio of renewable energy and storage assets.

Job Description


 * Database
    * Assist with the continued development and scaling of Octopus Australia’s single source of truth for operational and financial data.
    * Map and document current processes within the organisation and the future state of such systems and processes.
    * Identify optimisation opportunities, ensuring data integrity, security, and governance.
    * Analyse information gathered from multiple sources, reconcile conflicting data, break down complex information into finer details, abstract up from low-level information to a general understanding.
      

 * Insights and Visualisations
    * Implement best practices for data visualization and reporting in Power Bi.
    * Derive actionable insights based on qualitative and quantitative data.
    * Update and where possible automate maintenance of the information platform with monthly and quarterly updates from the business.
    * Develop, maintain, and enhance end-user reports utilising Power BI to facilitate data driven decision making.
      

 * Project Management
    * Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions.
    * Evaluate potential software solutions, including off-the-shelf and open-source components, and the system architecture to ensure that they meet business requirements.
      

 * Finance Experience
    * Conduct thorough data analysis to identify trends, business insights and opportunities for improvement.
    * Assist with responding to Investor requests.
    * Ad-hoc requests from Strategic Finance team.
      
      
      

Qualifications

Ideally, you will have the following qualifications, skills and experiences:


 * Business Data Analyst with over three years of experience, specializing in the development and maintenance of databases, Power BI reports, dashboards, and proficient in data wrangling using programming languages.
 * Experience with source data analysis, data mapping, and identifying source of truth for data across distributed systems/applications.
 * Database: SQL, Python. Visualisation: DAX and Power M, Advanced Excel skills
 * Competence in utilising Azure and other tools within the Power Platform (Power Apps, Power Automate and data flows) would be advantageous.
 * Results oriented problem solver, insights focussed while being tool agnostic.
 * The ability to identify optimisation opportunities, ensuring data security, governance and collaborating with other parts of the business to preserve data integrity.
 * Can manipulate, analyse, and interpret complex data sets with minimal support.
 * High level of attention to detail.
 * A relevant bachelor's degree or higher tertiary qualification in either Business, Data and Analytics or Finance.
   
   
   

Additional Information

What we offer


 *  A competitive salary package including bonus and medical insurance benefits
 * ?? Extra Annual Leave entitlement
 *  Flexible working
 * Ongoing learning and career development opportunities
   
   
   

Octopus has built an exciting and inclusive high-performance culture where employees feel empowered. We also understand the value of diversity, and we are dedicated to creating an inclusive workplace environment. We would welcome people of all backgrounds to apply.

Our Values

At Octopus we don’t just focus on what we do but also how we do it. Our culture is critical to our success and is built around three principles that underpin how we pursue our goals:


 * Be Bold – We like people who make decisions quickly and are OK changing their mind if it turns out there’s a better way of doing things.
 * Be Helpful – We like People who behave like it always day one and who remember without our customers there is no business.
 * Be Straightforward – We like people who have opinions and express them in a way that’s respectful and easy to understand.",Associate,4048020475,https://au.linkedin.com/jobs/view/business-data-analyst-octopus-australia-at-octopus-investments-australia-4048020475?trk=public_jobs_topcard-title,"Melbourne, Victoria, Australia",1 week ago,,,2024-11-27,,Financial Services,Business Data Analyst - Octopus Australia,General Business and Finance
62 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/data-analyst-at-exclaim-it-4090187139?trk=public_jobs_topcard-title,,2007333,Exclaim IT,https://au.linkedin.com/company/exclaim-it?trk=public_jobs_topcard-org-name,Contract,"Overview

Our large commercial client is looking to engage an a skilled Data Analyst with recent experience in the education field to join a dynamic team on an initial 3-month contract, with the potential for long-term involvement in a multi-year program.

In this role, you’ll analyze existing data, collaborate with stakeholders, and present actionable insights to enhance system, school, and student performance. If you’re ready to leverage your analytical skills to make a difference in education, this role is for you.

Responsibilities

 * Review and analyze existing data sources to identify challenges and opportunities in educational outcomes.
 * Generate evidence-based reports that enhance school and student performance.
 * Collaborate with team members to uncover key findings and develop insights that drive improvements.
 * Present findings and recommendations to senior leaders and facilitate stakeholder discussions.
 * Contribute to creating business cases that outline measurable benefits and resource requirements.
 * Support team initiatives and foster a culture of innovation through data-driven insights.

Skills

 * Strong analytical and statistical skills, with the ability to manage and interpret large datasets with precision.
 * Recent experience in the education sector, with an understanding of educational metrics (e.g., NAPLAN, PAT) and school operations.
 * Expertise in business and financial analysis, with problem-solving skills to address sector-specific challenges.
 * Exceptional communication skills to convey complex findings to diverse stakeholders effectively.
 * Proficiency in Power BI or similar data visualization tools.
 * Ability to obtain a Blue Card and complete a National Criminal Check.

Contact details

For a confidential discussion about the role, contact alana@exclaim-it.com.au",Mid-Senior level,4090187139,https://au.linkedin.com/jobs/view/data-analyst-at-exclaim-it-4090187139?trk=public_jobs_topcard-title,"Brisbane, Queensland, Australia",5 days ago,Alana DeLisle,https://au.linkedin.com/in/alana-delisle-756563120,2024-12-05,,Staffing and Recruiting,Data Analyst,Education
Over 200 applicants,EASY_APPLY,https://au.linkedin.com/jobs/view/business-data-analyst-octopus-australia-at-octopus-investments-australia-4051549569?trk=public_jobs_topcard-title,,65020154,Octopus Investments Australia,https://au.linkedin.com/company/octopus-investments?trk=public_jobs_topcard-org-name,Full-time,"This is an opportunity to join the Octopus Australia team in our Melbourne office. The successful applicant will be able to join the Octopus Australia team on their mission to accelerate Australia's transition to a future powered by renewable energy.


We’re looking for a Business Data Analyst to work within Business Intelligence unit of the Strategic Finance team at Octopus Australia. This role will build, operate, and maintain the information platform which will underpin information flows of Octopus Australia.


The individual in this position will collaborate across the wider Octopus business to understand how data is used and can enhance operations. They will then interpret these needs into functional specifications and play a role in the execution of technical solutions.


About Octopus Group


Octopus Group is a group of entrepreneurial companies on a mission to invest in the ideas, industries and people that will change the world. We are entrepreneurs and investors, applying our expertise and our clients’ money to build a brighter world for future generations. Octopus Group is one of the largest owners of renewable energy projects in Europe and Australia, owning some 260 assets, on behalf of wholesale and institutional investors.


Octopus Australia


Octopus Australia is a renewable energy fund manager and developer harnessing capital and expertise to accelerate the energy transition, with an operating and development portfolio of over $11bn across wind, solar and battery storage. Octopus Australia is more than just an investment manager, we take a data and technology driven approach to constructing an energy portfolio designed for Australia's clean energy future.


Our team of over 50 highly skilled professionals across Melbourne and Sydney, have a unique blend of skills and expertise covering all facets of the renewable energy industry. This allows us to manage projects across their entire lifecycle and create an integrated portfolio of renewable energy and storage assets.




Job Description


 * Database
   * Assist with the continued development and scaling of Octopus Australia’s single source of truth for operational and financial data.
   * Map and document current processes within the organisation and the future state of such systems and processes.
   * Identify optimisation opportunities, ensuring data integrity, security, and governance.
   * Analyse information gathered from multiple sources, reconcile conflicting data, break down complex information into finer details, abstract up from low-level information to a general understanding.
     
 * Insights and Visualisations
   * Implement best practices for data visualization and reporting in Power Bi.
   * Derive actionable insights based on qualitative and quantitative data.
   * Update and where possible automate maintenance of the information platform with monthly and quarterly updates from the business.
   * Develop, maintain, and enhance end-user reports utilising Power BI to facilitate data driven decision making.
     
 * Project Management
   * Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions.
   * Evaluate potential software solutions, including off-the-shelf and open-source components, and the system architecture to ensure that they meet business requirements.
     
 * Finance Experience
   * Conduct thorough data analysis to identify trends, business insights and opportunities for improvement.
   * Assist with responding to Investor requests.
   * Ad-hoc requests from Strategic Finance team.
     
     
     
     

Qualifications



Ideally, you will have the following qualifications, skills and experiences:


 * Business Data Analyst with over three years of experience, specializing in the development and maintenance of databases, Power BI reports, dashboards, and proficient in data wrangling using programming languages.
 * Experience with source data analysis, data mapping, and identifying source of truth for data across distributed systems/applications.
 * Database: SQL, Python. Visualisation: DAX and Power M, Advanced Excel skills
 * Competence in utilising Azure and other tools within the Power Platform (Power Apps, Power Automate and data flows) would be advantageous.
 * Results oriented problem solver, insights focussed while being tool agnostic.
 * The ability to identify optimisation opportunities, ensuring data security, governance and collaborating with other parts of the business to preserve data integrity.
 * Can manipulate, analyse, and interpret complex data sets with minimal support.
 * High level of attention to detail.
 * A relevant bachelor's degree or higher tertiary qualification in either Business, Data and Analytics or Finance.
   
   
   

Additional Information



What we offer


 *  A competitive salary package including bonus and medical insurance benefits
 * ?? Extra Annual Leave entitlement
 *  Flexible working
 * Ongoing learning and career development opportunities
   

Octopus has built an exciting and inclusive high-performance culture where employees feel empowered. We also understand the value of diversity, and we are dedicated to creating an inclusive workplace environment. We would welcome people of all backgrounds to apply.


Our Values


At Octopus we don’t just focus on what we do but also how we do it. Our culture is critical to our success and is built around three principles that underpin how we pursue our goals:


 * Be Bold – We like people who make decisions quickly and are OK changing their mind if it turns out there’s a better way of doing things.
 * Be Helpful – We like People who behave like it always day one and who remember without our customers there is no business.
 * Be Straightforward – We like people who have opinions and express them in a way that’s respectful and easy to understand.",Associate,4051549569,https://au.linkedin.com/jobs/view/business-data-analyst-octopus-australia-at-octopus-investments-australia-4051549569?trk=public_jobs_topcard-title,"South Yarra, Victoria, Australia",2 weeks ago,,,2024-11-26,,Renewable Energy Semiconductor Manufacturing,Business Data Analyst - Octopus Australia,Finance
