applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,description,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType
45 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/growth-data-analyst-at-flex-ai-4089750610?trk=public_jobs_topcard-title,,18680265,Flex AI,https://www.linkedin.com/company/flex-free-fitness-app?trk=public_jobs_topcard-org-name,Full-time,"Job Title: Growth Data Analyst




Location: Remote




About Us:

Flex AI is a leading platform dedicated to helping people achieve their fitness goals through personalized workout plans, nutrition guidance, and community support. Our mission is to make fitness accessible and enjoyable for everyone. Join our dynamic team and help us create innovative solutions that empower users to lead healthier lives!




 App: https://apps.apple.com/app/id1446354547

 Website: https://www.flexfitnessapp.com/

 A.I. Patent: https://patents.google.com/patent/WO2020252599A1/en




Position: Growth Data Analyst

Job Type: Full-Time




Responsibilities:

 * Analyze user data to identify growth opportunities and inform product development strategies.
 * Develop and maintain dashboards and reports to track key performance indicators (KPIs) and metrics.
 * Conduct A/B tests and other experiments to optimize user acquisition, retention, and engagement.
 * Collaborate with cross-functional teams, including product, marketing, and engineering, to implement data-driven insights and strategies.
 * Provide actionable recommendations based on data analysis to drive business growth and improve user experience.
 * Stay up-to-date with industry trends and best practices in data analysis and growth hacking.




Qualifications:

 * Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field.
 * Minimum of 3-5 years of experience in data analysis, with a focus on growth and user engagement.
 * Proficiency in data analysis tools such as SQL, Python, R, or similar.
 * Strong understanding of statistical analysis and data visualization techniques.
 * Experience with A/B testing and other experimental methodologies.
 * Excellent communication and collaboration skills, with the ability to work effectively in a remote team environment.
 * A portfolio showcasing your best work, highlighting your ability to drive growth through data analysis.




Why Join Us:

 * Collaborative and inclusive work environment.
 * Competitive salary and benefits package.
 * Flexible working hours and remote work options.
 * Professional development opportunities and continuous learning.",Entry level,4089750610,https://vn.linkedin.com/jobs/view/growth-data-analyst-at-flex-ai-4089750610?trk=public_jobs_topcard-title,Vietnam,5 days ago,,,2024-12-04,,"Technology, Information and Internet",Growth Data Analyst,Information Technology
125 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/business-intelligence-bugdet-planning-shopeepay-at-shopee-4074248881?trk=public_jobs_topcard-title,,6451760,Shopee,https://sg.linkedin.com/company/shopee?trk=public_jobs_topcard-org-name,Full-time,"* Critically evaluate and define business metrics; develop analysis that lead to actionable insights to support the continuous improvement of the Payment business
 * Consolidate data from multiple sources including operations, marketing and source databases to create integrated views that can be used to drive decision making
 * Work closely with stakeholders to understand their needs/ pain points to scope up their problems and enhance internal processes through automation and improve productivity
 * Work with several large and complex SQL databases
 * Utilize established data warehousing practices and data visualizations
 * Other ad-hocs tasks as Management team requirement




Requirement:

 * With min 1 year experience in Data process and analyzing field
 * Graduating with a Bachelor’s degree and above in Statistics, Business, Data Analytics, and other related fields
 * Proficient in one of the technical tools: Excel, PPT
 * Familiar with data visualization tools
 * Entrepreneurial spirit and start-up mindset
 * Work well with cross-functional teams in a fast-paced environment
 * Ability to demonstrate a high level of verbal and written English to coordinate with internal stakeholders across the region is a plus
 * Excellent analytical, problem-solving, and decision-making skills
 * A fast learner who is meticulous and detail-oriented
 * Fintech/Credit/E-commerce companies is a plus
 * Have SQL or Python is an big advance",Associate,4074248881,https://vn.linkedin.com/jobs/view/business-intelligence-bugdet-planning-shopeepay-at-shopee-4074248881?trk=public_jobs_topcard-title,"Ho Chi Minh City, Vietnam",3 weeks ago,Yen Pham,https://vn.linkedin.com/in/yen-pham-recruiter-shopee,2024-11-14,,Financial Services,"Business Intelligence - Bugdet & Planning, ShopeePay",Other
59 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/junior-data-analyst-at-avepoint-4082420937?trk=public_jobs_topcard-title,,46024,AvePoint,https://www.linkedin.com/company/avepoint?trk=public_jobs_topcard-org-name,Full-time,"Your Responsibilities Will Include


 * Build and manage the customer database and data management system to optimize business efficiency.
 * Propose systems and processes to consolidate and centralize data from multiple sources for effective analysis.
 * Develop and maintain reports and dashboards for leadership with clear performance metrics.
 * Analyze and evaluate business performance, identify risks, and provide strategic forecast reports.
 * Collaborate with other departments to build analytical tools, develop, and apply AI models to improve customer engagement solutions.
 * Select and implement data-driven optimization models to improve systems and achieve operational objectives.
 * Perform other tasks as assigned by leadership.
   
   

Job Requirements


 * Bachelor’s degree in a related field: Data Science, Statistics, Mathematics, Economics, Finance, Banking.
 * Proficiency in SQL, Excel, PowerBI, and data visualization tools; advanced data processing and analysis skills.
 * Strong knowledge of probability and statistics, forecasting models (especially time series analysis).
 * Excellent planning, logical thinking, and task management skills.
 * Professional demeanor, proactive attitude, and responsible work ethic.
   
   

Preferred


 * Experience working with Big Data platforms or data analysis in finance and banking.
 * Programming skills in Python or R, especially with data analysis and modeling libraries.
 * Familiarity with advanced analytics tools like Tableau, Google Data Studio is a plus
   
   

WORK LOCATION

Floor 4, The Artemis, Le Trong Tan street, Thanh Xuan district, Ha Noi

Benefits


 * 5-day workweek with weekends off
 * Dynamic, professional environment with career growth opportunities
 * Social, medical, and unemployment insurance based on actual salary
 * Performance and salary review twice a year
 * Quarterly bonus opportunities based on performance
 * Potential for international onsite assignments
 * Regular team-building events and internal activities (weekly happy hour, quarterly team building events, Lunar New Year parties, etc.)
   
   

Any personal data you share with us during the application process will be processed strictly in compliance with applicable data protection laws and our Privacy Notice.",Entry level,4082420937,https://vn.linkedin.com/jobs/view/junior-data-analyst-at-avepoint-4082420937?trk=public_jobs_topcard-title,"Hanoi, Hanoi, Vietnam",2 weeks ago,,,2024-11-25,,Data Security Software Products,JUNIOR DATA ANALYST,Information Technology
196 applicants,EXTERNAL,https://jobs.lever.co/portcast/7809b73b-c71f-4bbf-bc9e-109ed2f2ef8c/apply?lever-source=LinkedIn,,13468942,Portcast,https://sg.linkedin.com/company/portcast?trk=public_jobs_topcard-org-name,Full-time,"About us:

Portcast is a venture-backed Singapore based startup that develops predictive supply chain technology for the logistics industry. We’re focused on building the next-gen logistics operating system to predict how cargo moves across the world and enable data-driven supply chain planning. Based out of Singapore, we’ve been building together since 2018, and are backed by some of the major investors in the tech industry, we believe that the logistics industry is at the inflection point of large-scale digitization.

Our mission is to transform international supply chains to be more resilient by helping logistics companies realize the full potential of their data. We cater to both shipping lines and cargo airlines, covering 90% of the world trade volume that travels via ocean and 35% of world trade value that travels via air. We use proprietary machine learning algorithms and real-time external market data (such as economic indices, marine weather, satellite-based data, etc.) to predict how much cargo will be shipped, when it will arrive, and deliver actionable insights.

About the Role:

You will be joining the lean Analytics team in this critical role of data management, quality assurance, and analytics. You will work on a data-heavy product that offers our customers end-to-end visibility of their cargo at each step of the ocean movement. Our prediction engine answers when, where, why, and by how many days the container would be delayed. You will ensure that the data ingested in the model and shared with the customers is error-free and of the highest quality. You will own internal performance dashboards and automation processes.

The right candidate would have experience in data analysis roles, preferably in a startup environment, and possess a high level of ownership, efficiency, and a data-driven mindset. You will be analytical, comfortable with a fast-moving organization, and eager to collaborate with different teams to drive impact across the organization.

As a Data Analyst, you will:


 * Documentation, Reporting, Root Cause analysis of Prediction issues
 * Analyze ingested and system-generated data for anomalies and gaps
 * Refer to various data sources to plug those gaps
 * Create data stories and come up with possible solutions in terms of QA process flow change and/or automation. Own the subsequent plan and execution
 * Automation of Performance/Accuracy review processes, report generation, data visualization using Python, SQL
 * Support engineering and data science teams in system-level data fixes. Understand how the engine makes predictions, explore possible improvements in the process by fixing/introducing new data/features
 * Support the customer operations, marketing team in getting insights from the data, such as performance, accuracy metrics, impact of real-time events, etc. as required
 * Maintain, own internal and customer dashboards based on the trial/account requirements (e.g. prediction accuracy, timeliness, coverage, explainability)
   
   
   

To thrive in this role, you must have:


 * Bachelor's or Master’s degree in Computer Science, Engineering, Information Technology, or a related field
 * Prior experience in data analysis or data analyst roles, preferably in a startup environment
 * Exceptionally skilled in Python and SQL, with a demonstrated ability to consistently produce reusable and highly scalable code
 * An eye for detail: Looking for anomalies in the system
 * Familiarity with Linux, GitHub, product development
 * Proven experience with data visualization
 * Empathy and Urgency: to feel the customer pain and react promptly on a day-to-day basis
 * A Problem solver & go-getter: either programmatically or manually meeting customer expectations and delivering on time
 * Fluent with written and verbal in English
 * Strong ownership mindset, efficiency, and data-driven approach
 * Good to have: basic understanding of machine learning algorithms
   
   
   

If this role sounds like you, then we would love to hear from you to discuss this great opportunity!",Not Applicable,4040035986,https://vn.linkedin.com/jobs/view/data-analyst-at-portcast-4040035986?trk=public_jobs_topcard-title,"An Giang, Vietnam",2 months ago,,,2024-10-01,,"Transportation, Logistics, Supply Chain and Storage",Data Analyst,Information Technology
Be among the first 25 applicants,EXTERNAL,https://glints.com/opportunities/jobs/data-analyst-powerbi/fd2fa40e-f23c-4fac-a28c-fbe854287609,,,,,Full-time,"Job Description

As a member of the data and analytics team, the Business Intelligence Developer will work hand-in-hand with business stakeholders to assess needs and deliver data products that support and enhance decision-making. This individual will be well versed in data warehousing, data reporting, particularly with scripting languages such as SQL, and dashboard creation using visualization tools such as Power BI. This position will require a high degree of attention to detail along with ability to review calculations for quality assurance as well as solid communication and organization skills.

Roles, Responsibilities & Typical Activities

Ability to build Power BI Reports/Dashboards and reports by connecting to varied data sources

Estimate technical requirements and breaks down work to user stories and tasks

Design and work on proof of concepts that can be demonstrated to the customer

Perform Data Cleaning & Data Profiling

Optimize report performance

Prepare holistic documentations (process and technical) to enable proper knowledge transfer between both the data team as well as current/future users

Other reasonable duties as assigned

Your Skills And Experience

Qualifications / Experience

University or College degree, preferably major in Computer Science, Information Technology or related major

English level (CEFR) B2 or equivalent

Professional knowledge and skills

Ability to consult in interfacing with business stakeholders to determine needs organize and prioritize tasks

Must be detail oriented and able to problem solve

Have a strong sense of urgency and commitment to quality customer service is required

Must be team and service oriented

Data Analyze & Develop

Use existing aggregation tools (Excel, SQL, Data Warehouse) to prepare data

Use existing BI tools (Excel, Power BI, SQL) to gain insights into data

Use technical skills to elevate both the business & your teammates

Customer Service

Demonstrated internal customer service insights including the implementation of employee satisfaction charters.

Why you'll love working here

Extremely competitive salary.

13th month & productivity Bonus.

Yearly salary review.

Healthcare insurance package.

24/24 Personal accident insurance.

State-of-the-art office environment.

Yearly outing.

Detailed induction, training and on-going career development.

Opportunity for overseas training and travel.

English training programs.

5-day week.

Flexible start-times.

Free lunch.

Free parking.

Full Social Club including gym, zumba, yoga, football, badminton, swimming, tennis.",Associate,4092128184,https://vn.linkedin.com/jobs/view/data-analyst-powerbi-4092128184?trk=public_jobs_topcard-title,"Ngã B?y, Hau Giang, Vietnam",3 days ago,,,2024-12-06,,Software Development,Data Analyst  (PowerBI),Information Technology
Be among the first 25 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/data-analyst-recruitment-immediate-joiners-asap-at-qode-world-4095871793?trk=public_jobs_topcard-title,,92636599,qode.world,https://sg.linkedin.com/company/qode-world?trk=public_jobs_topcard-org-name,Full-time,"About Qode

At Qode, we revolutionize talent acquisition by leveraging data and automation. Our platform utilizes large language models (LLMs) to convert unstructured data into actionable insights, creating ""Private Talent Pools"" for recruiters. By automating recruiting workflows, we eliminate costs and significantly decrease time-to-hire. Our agents match profiles, find contacts, send messages, schedule interviews, and transcribe them for searchable data. We ensure high-quality hiring through automated technical assessments and detailed feedback for recruiters.

We are seeking a dynamic Data Anaylyst (Recruitment field) to oversee and manage the dashboards and operations of our recruitment services. This role is crucial for ensuring operational excellence and effective talent acquisition.

About The Job

As the Data Analyst, you will be responsible for managing the dashboards operations of our recruitment services. This position combines strategic oversight of operations with hands-on management of dashboards to ensure seamless service delivery and client satisfaction.

Responsibilities

Data Analysis:


 * Collect, analyze, and interpret recruitment data to provide actionable insights for the recruitment team and stakeholders, ensuring accuracy and relevance
 * Create and maintain recruitment dashboards and reports using data directly queried from the company's data warehouse and recruitment team's manual inputs
 * Monitor and maintain the accuracy of operational reports on recruitment, along with accounts and revenues management
 * Monitor key performance indicators (KPIs) and all accounts to produce reports upon requests
 * Ad-Hoc Analysis: Support recruitment team with data analysis as needed to meet immediate demands
 * Optimize report performance and process other reasonable duties as assigned
   
   

Operations:


 * Oversee the end-to-end operations of our recruitment services and products, ensuring efficiency and alignment with company goals
 * Oversee all clients' hiring needs and assign the job requirements among the Talent Partner team evenly and efficiently
 * Work closely with the Account Managers, Accountants and Admin for reviewing, drafting and processing global contracts and deals
 * Work closely with the Accountants and global Talent Partner Team Leads to ensure the process of timely invoice issuance and payment collection
 * Make, revise and update agreements and appendices upon requests
 * Develop and implement operational policies and procedures to enhance service delivery and optimize workflows
 * Ensure compliance with industry regulations and best practices in recruitment operations
   
   
   

Requirements


 * Bachelor's degree in Economics, Finance, Human Resources, Business Administration or a relevant field
 * Minimum of 1 year of experience in reporting/data analytics
 * Excellent verbal and written communication skills in English (must-have)
 * Proficient in using Excel/Google Sheet and data analytics for operational reporting
 * Experience in BI tools (Power BI, SQL) to gain insights into data
 * Experience in HR/HR Tech/Recruitment/Headhunting services is a plus
 * Understanding of recruitment processes and best practices is a plus
 * Experience in handling recruitment/headhunting agreements is a plus
 * Strong interpersonal skills and a can-do attitude
 * Ability to work efficiently under pressure and manage multiple priorities",Entry level,4095871793,https://vn.linkedin.com/jobs/view/data-analyst-recruitment-immediate-joiners-asap-at-qode-world-4095871793?trk=public_jobs_topcard-title,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",7 hours ago,,,2024-12-10,,Non-profit Organizations and Primary and Secondary Education,"Data Analyst - Recruitment (Immediate Joiners, ASAP)",Information Technology
Over 200 applicants,EXTERNAL,https://yes4all.talent.vn/job/data-analyst-fresher-6922,,14421732,Yes4All,https://vn.linkedin.com/company/yes4all-inc?trk=public_jobs_topcard-org-name,Full-time,"Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be the world leader in e-commerce enablers in terms of trading, product creating and e-commerce servicing. Based in California with an operation office in HCMC, we have young and talented members with expert knowledge and experience in the e-commerce industry.

We are on an ambitious journey to dominate not only US e-commerce market but also to enter new e-commerce markets of more than 15 countries in Europe, Asia and North America, not only Amazon channel but also Walmart, Wayfair among others. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end-to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets.

Our mission: Connect the Worldwide Resources & create innovative platform to bring products and services from innovators and manufacturers to worldwide customers more efficiently.

Our vision: To be the world leader of e-commerce enabler in term of trading, product creating, and e-commerce servicing.

For More Information


 * Website: https://yes4all.com/
 * LinkedIn: www.linkedin.com/company/yes4all-llc/
 * Facebook: www.facebook.com/Yes4AllVNCareers
   
   

Yes4All is strongly growing. On the way to become the world largest e-commerce enable platform, we are looking for talented candidates to join us.

I. JOB DISCRIPTION

Maintain and Modified Reports


 * Modified report by request.
 * Ensure accuracy and timeliness of reports.
   
   

Maintain Data Quality


 * Monitor and detect data issues, thereby creating automatic alert tools
   
   

Data processing


 * Aggregate, clean up data sources
   
   

Documentation


 * Create and maintain documents
   
   

Ii. Requirements


 * Bachelor’s degree in Data Analytics, Data Science, Computer Science, or a related field.
 * Can use SQL, Python, and visualization tools like Power BI.
 * Have good analytical and statistical skills
 * Have good communication and presentation abilities
 * Possess a “Can do” mindset
   
   

WHY YOU WILL LOVE JOINING US?

FOR YOU TO JOIN


 * Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances.
 * Salary review: annually or on excellent performance.
 * Activities: company trips, team-building, and other customized monthly bonding events.
 * Annual leaves: 16 days off and 01 Birthday Leave per year.
 * Healthcare: annual health check, insurance according to Labor Law and extra PTI Insurance package.
 * Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration.
   
   

FOR YOU TO GROW


 * Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge.
 * Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work.
 * Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry.
   
   

FOR YOU TO STAY


 * People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication.
 * Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive
 * Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions.
   
   

And much more, join us and let yourself explore other fantastic things!",Entry level,4086194963,https://vn.linkedin.com/jobs/view/data-analyst-fresher-at-yes4all-4086194963?trk=public_jobs_topcard-title,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,,,2024-11-27,,Retail,Data Analyst Fresher,Information Technology
56 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/data-analyst-at-techcom-securities-4071474840?trk=public_jobs_topcard-title,,3786400,Techcom Securities,https://vn.linkedin.com/company/techcom-securities?trk=public_jobs_topcard-org-name,Full-time,"1. Key Responsibilities

 * Data Reporting & Visualization: Develop and deliver Power BI dashboards and reports to support the BOM, business squads, and other internal departments. Provide actionable insights to improve business operations and decision-making.
 * Data Analysis: Utilize Python, SQL, and other tools to gather, analyze, and interpret large, complex datasets, ensuring data accuracy and consistency.
 * Internal Reporting: Produce regular and ad-hoc internal reports to track key performance indicators (KPIs) and other business metrics.
 * API Integration: Collaborate with other technical teams to provide data through API integrations for cross-departmental access and automation.
 * Cross-Departmental Collaboration: Work closely with stakeholders across different teams to understand data requirements and provide customized analytical solutions.
 * Data Quality: Ensure data integrity by implementing validation procedures and maintaining high standards for data accuracy.
 * Process Optimization: Identify opportunities to improve data processes, reporting, and workflows through automation or enhanced data management practices.




2. Required Skills & Qualifications

Technical Expertise

 * Advanced proficiency in Power BI for building reports, dashboards, and data visualizations.
 * Strong skills in SQL for querying, managing, and analyzing large datasets.
 * Experience with Python for data analysis, automation, and scripting.
 * Hands-on experience with AWS Redshift and AWS Lake for data storage, querying, and integration.

Analytical Skills

 * Strong ability to analyze complex data sets and translate them into actionable business insights.
 * Prior experience working with financial or stock market data.

Communication

 * Excellent verbal and written communication skills, with the ability to explain technical data to non-technical stakeholders.
 * Ability to collaborate effectively across multiple departments.
 * Detail-Oriented: Strong focus on accuracy and quality in all data-related tasks.
 * Problem-Solving: Demonstrated ability to troubleshoot data-related issues and improve processes.

Experience

 * 3-5 years of experience as a Data Analyst, preferably in the banking or finance industry.
 * Familiarity with stock market data, financial reporting, or securities-related analysis is highly desirable.
 * Education: Bachelor's degree in Data Science, Computer Science, Finance, Mathematics, or a related field.
 * CFA Level 1 Passed is a plus, demonstrating a foundational understanding of investment analysis and financial markets.",Mid-Senior level,4071474840,https://vn.linkedin.com/jobs/view/data-analyst-at-techcom-securities-4071474840?trk=public_jobs_topcard-title,"Hanoi, Hanoi, Vietnam",4 weeks ago,,,2024-11-11,,"Investment Banking, Financial Services, and Banking",Data Analyst,"Analyst, Finance, and Information Technology"
144 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/middle-senior-data-analyst-at-tymex-4040644996?trk=public_jobs_topcard-title,,75603963,TymeX,https://vn.linkedin.com/company/lifeattymex?trk=public_jobs_topcard-org-name,Full-time,"We are seeking a skilled and motivated Data Analyst to join our team. The successful candidate will be responsible for collecting, analyzing, and interpreting large sets of data to identify trends and insights. The Data Analyst will work closely with the business stakeholders to understand their needs, analyze large datasets to find improvement opportunities, and provide actionable recommendations for Business stakeholders.

Job Responsibilities:


 * Collect, analyze and interpret large sets of data using statistical methods and data analysis tools
 * Collaborate with business stakeholders to identify the improvement opportunities
 * Draw conclusions from findings from data analysis & recommend actionable strategies to the Business stakeholders
 * Develop and maintain data analysis documentation based on findings
 * Continuously monitor data quality and identify opportunities for data quality improvements.
 * Strong written and verbal communication - to communicate across business lines and be able to communicate with non-native data stakeholders
 * Create and maintain data sets, reports, and dashboards to support business decisions and performance tracking.
 * Work with data structures and metadata to ensure consistency, security, and accessibility.
   
   
   

Requirements


 * Bachelor's degree in Mathematics, Computer Science, Economics, or related fields
 * 2+ years experienced as a data analyst, having actual impact on business based on insight is preferred
 * Strong SQL, Python or Pyspark with the ability to learn
 * Fluent in English (Interviews will be conducted in English)
 * Proven analytic skills, including reporting, mining, evaluation, analysis, and visualization
 * Technical writing experience in relevant areas, including queries, reports, and presentations
   
   
   

Preferred Qualifications:


 * At least 2 years working in a data analytics reporting role
 * Background in statistics and business/data modeling
   
   
   

Benefits


 * Meal and parking allowance are covered by the company
 * Full benefits and salary rank during probation
 * Insurances as Vietnamese labor law and premium health care for you and your family without seniority compulsory
 * Performance bonus up to 2 months
 * 13th month salary pro-rata
 * 15-day annual leave+ 3-day sick leave + 1 birthday leave + 1 Christmas leave
 * SMART goals and clear career opportunities (technical seminar, conference, and career talk) - we focus on your development
 * Values-driven, international working environment, and agile culture
 * Overseas travel opportunities for training and working related
 * Internal Hackathons and company's events (team building, coffee run, blue card...)
 * Work-life balance 40-hr per week from Mon to Fri",Mid-Senior level,4040644996,https://vn.linkedin.com/jobs/view/middle-senior-data-analyst-at-tymex-4040644996?trk=public_jobs_topcard-title,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 months ago,,,2024-10-02,,Non-profit Organizations and Primary and Secondary Education,Middle/Senior Data Analyst,Analyst
33 applicants,EXTERNAL,https://tuyendung.vnpay.vn/tuyen-dung/data-analytics.html,,7074830,VNPAY,https://vn.linkedin.com/company/vnpay?trk=public_jobs_topcard-org-name,Full-time,"Responsibilities

Data Analysis and Reporting


 * Identify, analyze and interpret trends or patterns in complex data sets using script languages
 * Develop and maintain dashboards and visualizations to empower operational and exploratory analysis
 * Improve the operational efficiency of the business with analysis, reporting, and forecasting
 * Implement statistical modeling and analysis of structured and unstructured datasets to develop metrics, reports, and visualization of trends and patterns
 * Implement A/B testing
   
   

Data Mining


 * Collect data from different sources to enable the analysis
 * Verify data availability, quality, completeness and identify action to take for data management
 * Ensure the correctness of metadata, assure the process, logic is updated correctly
   
   

Qualifications

Bachelor's degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering or Information Technology

Work Experience


 * 1-2 years of relevant experience focus on data-related tasks
 * Experience in banking, finance, ecommerce or delivery companies
 * Proficiency in SQL, Python, and BI tools
 * Experience in data management, ETL, and analysis functions
 * Strong analytical thinking, business sense, and communication skills
 * Proven problem-solving skills, attention to detail, and exceptional organizational skills
 * Basics knowledge in unsupervised and supervised learning methodologies
 * Understand Agile principles, practices, and Scrum methodologies
 * Experience in Spark is a plus
   
   

Benefits


 * Working in a fast-moving team, fully supported by BOM. Changes can be executed in a few weeks
 * Having a clear road-map to grow
 * Working in a team ready to take risks and challenge ""best practices""
 * Negotiable salary according to qualification (year-end bonus,.... )
 * Full benefit with social insurance. Annual health check and PTI insurance under the company’s policy
 * Employee Relationship: company trip, team building,...
 * Leave Paid: 12 days for annual leave
 * We will contact with suitable CVs within 07 working days from the date of application
 * Cách th?c ?ng tuy?n:
   
   

B??c 1: ?i?n thông tin và ?ính kèm CV t?i b?ng ?ng tuy?n bên d??i.

B??c 2: ??c k? n?i dung và xác nh?n “??ng ý” v?i Chính sách b?o v? d? li?u cá nhân dành cho ?ng viên c?a VNPAY trên màn hình ?ng tuy?n

L?u ý: ??i v?i ?ng viên ""T? ch?i"" Chính sách b?o v? d? li?u cá nhân trên, VNPAY s? không có c?n c? ?? xét duy?t h? s? c?a b?n


 * Chúng tôi s? liên h? qua ?i?n tho?i v?i nh?ng CV phù h?p trong vòng 7 ngày làm vi?c k? t? ngày ?ng tuy?n.
   
   

Thông tin liên h?: Ms.Linh (P. Nhân s?)


 * Tel: 024 3776 4668 (b?m 281)
 * Fanpage: https://www.facebook.com/TuyendungVNPAY",Entry level,4091454266,https://vn.linkedin.com/jobs/view/data-analyst-at-vnpay-4091454266?trk=public_jobs_topcard-title,"Hanoi, Hanoi, Vietnam",4 days ago,,,2024-12-05,,IT Services and IT Consulting,Data Analyst,Information Technology
