applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,description,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType
88 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/growth-data-analyst-at-flex-ai-4089750610?trk=public_jobs_topcard-title,,18680265,Flex AI,https://www.linkedin.com/company/flex-free-fitness-app?trk=public_jobs_topcard-org-name,Full-time,"Job Title: Growth Data Analyst




Location: Remote




About Us:

Flex AI is a leading platform dedicated to helping people achieve their fitness goals through personalized workout plans, nutrition guidance, and community support. Our mission is to make fitness accessible and enjoyable for everyone. Join our dynamic team and help us create innovative solutions that empower users to lead healthier lives!




 App: https://apps.apple.com/app/id1446354547

 Website: https://www.flexfitnessapp.com/

 A.I. Patent: https://patents.google.com/patent/WO2020252599A1/en




Position: Growth Data Analyst

Job Type: Full-Time




Responsibilities:

 * Analyze user data to identify growth opportunities and inform product development strategies.
 * Develop and maintain dashboards and reports to track key performance indicators (KPIs) and metrics.
 * Conduct A/B tests and other experiments to optimize user acquisition, retention, and engagement.
 * Collaborate with cross-functional teams, including product, marketing, and engineering, to implement data-driven insights and strategies.
 * Provide actionable recommendations based on data analysis to drive business growth and improve user experience.
 * Stay up-to-date with industry trends and best practices in data analysis and growth hacking.




Qualifications:

 * Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field.
 * Minimum of 3-5 years of experience in data analysis, with a focus on growth and user engagement.
 * Proficiency in data analysis tools such as SQL, Python, R, or similar.
 * Strong understanding of statistical analysis and data visualization techniques.
 * Experience with A/B testing and other experimental methodologies.
 * Excellent communication and collaboration skills, with the ability to work effectively in a remote team environment.
 * A portfolio showcasing your best work, highlighting your ability to drive growth through data analysis.




Why Join Us:

 * Collaborative and inclusive work environment.
 * Competitive salary and benefits package.
 * Flexible working hours and remote work options.
 * Professional development opportunities and continuous learning.",Entry level,4089750610,https://vn.linkedin.com/jobs/view/growth-data-analyst-at-flex-ai-4089750610?trk=public_jobs_topcard-title,Vietnam,1 week ago,,,2024-12-04,,"Technology, Information and Internet",Growth Data Analyst,Information Technology
47 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-4078340326?trk=public_jobs_topcard-title,,6451760,Shopee,https://sg.linkedin.com/company/shopee?trk=public_jobs_topcard-org-name,Full-time,"Job Description:

 * Business Partnership: Proactively engage with internal business teams to understand their data requirements and translate business questions into analytical solutions.
 * Advanced Analytics: Conduct in-depth data analysis to identify trends, patterns, and opportunities. Develop and implement advanced analytical models to address complex business challenges.
 * Insight Generation: Deliver actionable insights to business stakeholders & BI Heads, through clear and effective communication.
 * Project Management: Own end-to-end data projects, from defining the scope to delivering results. Build frameworks and trackers to monitor project progress and ensure timely delivery.
 * Stakeholder Management: Build strong relationships with stakeholders across the organization. Effectively communicate complex data findings to both technical and non-technical audiences.
 * Data Solution Development: Design, implement, and maintain a self-service data platform that enables ad-hoc access to large datasets, empowering business users to conduct their own analyses.
 * Continuous Improvement: Proactively identify opportunities to improve data quality, efficiency, and effectiveness. Stay up-to-date with the latest data technologies and trends.




Requirements:

 * At least 3+ years of working experience in DA, BI, CMI, or market research, preferably at tech companies.
 * A curious mindset with a passion for data and problem-solving.
 * Strong analytical skills with a proven ability to translate data into actionable insights.
 * Strong business acumen with a desire to understand the eCommerce industry.
 * Proficiency in SQL.
 * Experience with data modeling and analytical frameworks.
 * Experience in Python and other similar languages & tools
 * Prior experience with database and model design and segmentation techniques",Mid-Senior level,4078340326,https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-shopee-4078340326?trk=public_jobs_topcard-title,"Ho Chi Minh City, Vietnam",3 weeks ago,Trang (Phoebe) Nguyen,https://vn.linkedin.com/in/phoebe-trang,2024-11-20,,Internet Marketplace Platforms,Senior Business Intelligence Analyst,"Analyst, Strategy/Planning, and Supply Chain"
67 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/junior-data-analyst-at-avepoint-4082420937?trk=public_jobs_topcard-title,,46024,AvePoint,https://www.linkedin.com/company/avepoint?trk=public_jobs_topcard-org-name,Full-time,"Your Responsibilities Will Include


 * Build and manage the customer database and data management system to optimize business efficiency.
 * Propose systems and processes to consolidate and centralize data from multiple sources for effective analysis.
 * Develop and maintain reports and dashboards for leadership with clear performance metrics.
 * Analyze and evaluate business performance, identify risks, and provide strategic forecast reports.
 * Collaborate with other departments to build analytical tools, develop, and apply AI models to improve customer engagement solutions.
 * Select and implement data-driven optimization models to improve systems and achieve operational objectives.
 * Perform other tasks as assigned by leadership.
   
   

Job Requirements


 * Bachelor’s degree in a related field: Data Science, Statistics, Mathematics, Economics, Finance, Banking.
 * Proficiency in SQL, Excel, PowerBI, and data visualization tools; advanced data processing and analysis skills.
 * Strong knowledge of probability and statistics, forecasting models (especially time series analysis).
 * Excellent planning, logical thinking, and task management skills.
 * Professional demeanor, proactive attitude, and responsible work ethic.
   
   

Preferred


 * Experience working with Big Data platforms or data analysis in finance and banking.
 * Programming skills in Python or R, especially with data analysis and modeling libraries.
 * Familiarity with advanced analytics tools like Tableau, Google Data Studio is a plus
   
   

WORK LOCATION

Floor 4, The Artemis, Le Trong Tan street, Thanh Xuan district, Ha Noi

Benefits


 * 5-day workweek with weekends off
 * Dynamic, professional environment with career growth opportunities
 * Social, medical, and unemployment insurance based on actual salary
 * Performance and salary review twice a year
 * Quarterly bonus opportunities based on performance
 * Potential for international onsite assignments
 * Regular team-building events and internal activities (weekly happy hour, quarterly team building events, Lunar New Year parties, etc.)
   
   

Any personal data you share with us during the application process will be processed strictly in compliance with applicable data protection laws and our Privacy Notice.",Entry level,4082420937,https://vn.linkedin.com/jobs/view/junior-data-analyst-at-avepoint-4082420937?trk=public_jobs_topcard-title,"Hanoi, Hanoi, Vietnam",2 weeks ago,,,2024-11-25,,Data Security Software Products,JUNIOR DATA ANALYST,Information Technology
Be among the first 25 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/business-data-analyst-at-cmc-global-careers-4089290033?trk=public_jobs_topcard-title,,74714591,CMC Global Careers,https://vn.linkedin.com/company/cmc-global-careers?trk=public_jobs_topcard-org-name,Full-time,"JOB DESCRIPTION 
 * Identify valuable data sources and automate collection processes
 * Undertake preprocessing of structured and unstructured data
 * Analyze large amounts of information to discover trends and patterns
 * Build predictive models and machine-learning algorithms
 * Combine models through ensemble modeling
 * Present information using data visualization techniques
 * Propose solutions and strategies to business challenges
 * Collaborate with engineering and product development teams




REQUIREMENTS

BA /DA Experience & Skills:

 * Experience as a Software BA /DA (2~5 years);
 * Excellent at Communication & Negotiation;
 * Excellent at Presentation (Diagrams, Matrix …) & Elicitation & Specification

Data Knowledge & Skills:

 * Excellent level of SQL extract data on DB
 * Experience on Enterprise DB Server: SQL, Oracle, IBM DB2…
 * Basic understanding & experience with Data platforms such as Data-warehouse (ETL, Staging, DataMart, SCD, CDC…)

Bank Domain Knowledge & Experience:

 * Basic understanding of Bank general knowledge: Products, Channels, Systems…
 * Experience in bank projects is a big plus.

Others: Experience on Integration projects (handling Data Mapping, Data Modelling…) is a big plus.




BENEFITS
 * Training and career development opportunities.
 * Package: 13, 14 salary months + Project bonus + KPI bonus.
 * Extra package: 16 Mil /employee/year (Bonus at Tet, New Year, your birthday, CMC Corp’s birthday, 2/9 and Tet’s gift, Middle-Autumn gift, …)
 * Salary review 2 times/year or on excellent performance.
 * Opportunity to approach the latest technology trends, develop your career within an international Company, and build large-scale and global software products for our clients.
 * Onsite opportunities: short-term and long-term assignments in US, EU,
 * Paid annual leave: 12 days + gift for your birthday.
 * Company’s labor policy completely pursuant to Vietnamese labor legislation plus other benefits offered by the company (PTI care premium, Company trip, Holiday, Sum-up, etc.).
 * Exciting leisure: sports and art events (football club, family day, happy hour,).",Mid-Senior level,4089290033,https://vn.linkedin.com/jobs/view/business-data-analyst-at-cmc-global-careers-4089290033?trk=public_jobs_topcard-title,Hanoi Capital Region,1 week ago,,,2024-12-04,,IT Services and IT Consulting,Business Data Analyst,Information Technology
Over 200 applicants,EXTERNAL,https://yes4all.talent.vn/job/data-analyst-fresher-6922,,14421732,Yes4All,https://vn.linkedin.com/company/yes4all-inc?trk=public_jobs_topcard-org-name,Full-time,"Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be the world leader in e-commerce enablers in terms of trading, product creating and e-commerce servicing. Based in California with an operation office in HCMC, we have young and talented members with expert knowledge and experience in the e-commerce industry.

We are on an ambitious journey to dominate not only US e-commerce market but also to enter new e-commerce markets of more than 15 countries in Europe, Asia and North America, not only Amazon channel but also Walmart, Wayfair among others. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end-to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets.

Our mission: Connect the Worldwide Resources & create innovative platform to bring products and services from innovators and manufacturers to worldwide customers more efficiently.

Our vision: To be the world leader of e-commerce enabler in term of trading, product creating, and e-commerce servicing.

For More Information


 * Website: https://yes4all.com/
 * LinkedIn: www.linkedin.com/company/yes4all-llc/
 * Facebook: www.facebook.com/Yes4AllVNCareers
   
   

Yes4All is strongly growing. On the way to become the world largest e-commerce enable platform, we are looking for talented candidates to join us.

I. JOB DISCRIPTION

Maintain and Modified Reports


 * Modified report by request.
 * Ensure accuracy and timeliness of reports.
   
   

Maintain Data Quality


 * Monitor and detect data issues, thereby creating automatic alert tools
   
   

Data processing


 * Aggregate, clean up data sources
   
   

Documentation


 * Create and maintain documents
   
   

Ii. Requirements


 * Bachelor’s degree in Data Analytics, Data Science, Computer Science, or a related field.
 * Can use SQL, Python, and visualization tools like Power BI.
 * Have good analytical and statistical skills
 * Have good communication and presentation abilities
 * Possess a “Can do” mindset
   
   

WHY YOU WILL LOVE JOINING US?

FOR YOU TO JOIN


 * Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances.
 * Salary review: annually or on excellent performance.
 * Activities: company trips, team-building, and other customized monthly bonding events.
 * Annual leaves: 16 days off and 01 Birthday Leave per year.
 * Healthcare: annual health check, insurance according to Labor Law and extra PTI Insurance package.
 * Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration.
   
   

FOR YOU TO GROW


 * Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge.
 * Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work.
 * Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry.
   
   

FOR YOU TO STAY


 * People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication.
 * Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive
 * Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions.
   
   

And much more, join us and let yourself explore other fantastic things!",Entry level,4086194963,https://vn.linkedin.com/jobs/view/data-analyst-fresher-at-yes4all-4086194963?trk=public_jobs_topcard-title,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,,,2024-11-27,,Retail,Data Analyst Fresher,Information Technology
103 applicants,EXTERNAL,https://tcbrands.wd1.myworkdayjobs.com/callaway-careers/job/CG\u002d\u002d-Office\u002d\u002d-Vietnam/Associate-Data-Analyst_JR2023-9517?source=Linkedin,,8217,Callaway Golf,https://www.linkedin.com/company/callaway-golf?trk=public_jobs_topcard-org-name,Full-time,"ABOUT THE BRAND:

Callaway Golf is the leading manufacturer of premium golf clubs, balls, performance gear and accessories worldwide. Through an unwavering commitment to innovation, we push the limits of performance and create demonstrably superior products designed to make every golfer a better golfer.




Our company is a blend of experience and diverse backgrounds, and together we look to move the game forward, and we want top-notch people to join us in that mission!




By joining Callaway Golf, you also join part of the portfolio of brands within Topgolf Callaway Brands, an unrivaled tech-enabled Modern Golf and active lifestyle company delivering leading golf equipment, apparel, and entertainment, with a portfolio of global brands including Topgolf, Callaway Golf, TravisMathew, Toptracer, Odyssey, OGIO, Jack Wolfskin, and World Golf Tour (“WGT”). “Modern Golf” is the dynamic and inclusive ecosystem that includes both on-course and off-course golf. For more information, please visit https://www.topgolfcallawaybrands.com

JOB OVERVIEW

Responsible for the design and development of data visualizations and dashboards using data sets from various sources and maintenance. Explore the opportunities of business reports enrichment. Creating informative and user-friendly format to help organization making make data-driven decisions, optimize processes, evaluate performance, and drive growth.




ROLES AND RESPONSIBILITIES

 * Collect, clean and prepare data for visualization.
 * Utilize data manipulation languages to extract and manipulate data from various sources.
 * Design, develop, and maintain reports and dashboards clear, concise and informative, providing actionable insights to support decision-making processes across the organization.
 * Manage and track the KPI’s for internal & external, maintain dashboards and share with key stakeholders in regular basis to enhance data transparency.
 * Strive for excellence in the reporting formats and the process of collecting/ reporting data by enhancing exiting tools and creating new tools.
 * Perform data analysis to uncover trends, patterns, and insights that can influence strategic decisions.
 * Proactively offer a clear point of view regarding updates, revisions or new reporting formats that will lead to a continuous improvement of our processes.
 * Data entry might be required as part of data migration.
 * Plus, any other requirements as directed by Management.




TECHNICAL COMPETENCIES (Knowledge, Skills & Abilities)

 * 2+ years of experience in data analytics and management or a related role, with a proven track record of delivering high-quality reports and insights.
 * Experience in data visualization techniques, data modeling, and ETL processes is highly desirable.
 * Knowledge and awareness of Manufacturing/ Supply Chain Management.
 * Strong knowledge and experience with Power BI/ DAX and other Power Platform products.
 * Proficiency in data manipulation and analysis, statistical techniques, and analytical tools (Excel/ Power Query, R/ Python/ SQL, …).
 * Experience with SAP/ SAP Business Objects, Centric PLM is a plus.
 * Experience with Snowflake is a plus.
 * Good project management skills with the ability to handle multiple projects.
 * Strong problem-solving, decision-making, and critical thinking skills.
 * Ability to collaborate and work well with a variety of stakeholders.
 * Organized, focus and diligent work habits.
 * Strong communication skills, both verbal and written, fluent in English, with the ability to convey complex data insights to non-technical stakeholders.
 * Enjoy working in a multicultural environment.




EDUCATION AND EXPERIENCE

 * Bachelor’s or Master’s in Data Science, Engineering, Business, or a related field. Certifications in relevant areas of data analytics are considered a plus.
 * Proficient with Microsoft Suite and analytical tools.
 * Proven experience with ERP systems, ideally with SAP; Centric PLM.




PHYSICAL REQUIREMENTS / WORK ENVIRONMENT (if applicable)

 * Work is performed in a designated professional office workstation and environment.
 * Extensive use of office equipment to include computer, calculator, copier, fax, and other business-related machines and software.
 * Travel domestically and internationally should be expected.




DISCLAIMER

This job description indicates in general terms, the type and level of work performed as well as the typical responsibilities of employees in this classification and it may be changed by management at any time. Other duties may also apply. Nothing in this position description changes the at-will employment relationship existing between the Company and its employees. Distribution of this item outside of the Company without an authorized release is a violation of Company policy.




#LI-TN1

DE&I and EEOC:

Inclusion & Diversity: As a purpose-led, performance driven company, we strive to foster a culture of belonging based on respect, connection, openness and authenticity. We are committed to building and maintaining a workplace that celebrates the diversity of our associates, supporting them to bring their authentic selves to work every day.




If your experience is close to what we’re looking for, please consider applying. Experience comes in many forms, skills are transferable, and passion goes a long way. We know that diverse backgrounds and experiences make for the best problem-solving and creative thinking, which is why we’re dedicated to adding new perspectives to the team and encourage everyone to apply. We look forward to learning more about you.




ARE YOU READY TO MAKE THE TURN? APPLY TODAY!",Associate,4089270208,https://vn.linkedin.com/jobs/view/associate-data-analyst-at-callaway-golf-4089270208?trk=public_jobs_topcard-title,"Ho Chi Minh City, Vietnam",1 week ago,Thi Nguyen,https://vn.linkedin.com/in/nhuthi-nguyen,2024-12-04,,Retail and Manufacturing,Associate Data Analyst,Other and Analyst
Over 200 applicants,EXTERNAL,https://jobs.lever.co/portcast/7809b73b-c71f-4bbf-bc9e-109ed2f2ef8c/apply?lever-source=LinkedIn,,13468942,Portcast,https://sg.linkedin.com/company/portcast?trk=public_jobs_topcard-org-name,Full-time,"About us:

Portcast is a venture-backed Singapore based startup that develops predictive supply chain technology for the logistics industry. We’re focused on building the next-gen logistics operating system to predict how cargo moves across the world and enable data-driven supply chain planning. Based out of Singapore, we’ve been building together since 2018, and are backed by some of the major investors in the tech industry, we believe that the logistics industry is at the inflection point of large-scale digitization.

Our mission is to transform international supply chains to be more resilient by helping logistics companies realize the full potential of their data. We cater to both shipping lines and cargo airlines, covering 90% of the world trade volume that travels via ocean and 35% of world trade value that travels via air. We use proprietary machine learning algorithms and real-time external market data (such as economic indices, marine weather, satellite-based data, etc.) to predict how much cargo will be shipped, when it will arrive, and deliver actionable insights.

About the Role:

You will be joining the lean Analytics team in this critical role of data management, quality assurance, and analytics. You will work on a data-heavy product that offers our customers end-to-end visibility of their cargo at each step of the ocean movement. Our prediction engine answers when, where, why, and by how many days the container would be delayed. You will ensure that the data ingested in the model and shared with the customers is error-free and of the highest quality. You will own internal performance dashboards and automation processes.

The right candidate would have experience in data analysis roles, preferably in a startup environment, and possess a high level of ownership, efficiency, and a data-driven mindset. You will be analytical, comfortable with a fast-moving organization, and eager to collaborate with different teams to drive impact across the organization.

As a Data Analyst, you will:


 * Documentation, Reporting, Root Cause analysis of Prediction issues
 * Analyze ingested and system-generated data for anomalies and gaps
 * Refer to various data sources to plug those gaps
 * Create data stories and come up with possible solutions in terms of QA process flow change and/or automation. Own the subsequent plan and execution
 * Automation of Performance/Accuracy review processes, report generation, data visualization using Python, SQL
 * Support engineering and data science teams in system-level data fixes. Understand how the engine makes predictions, explore possible improvements in the process by fixing/introducing new data/features
 * Support the customer operations, marketing team in getting insights from the data, such as performance, accuracy metrics, impact of real-time events, etc. as required
 * Maintain, own internal and customer dashboards based on the trial/account requirements (e.g. prediction accuracy, timeliness, coverage, explainability)
   
   
   

To thrive in this role, you must have:


 * Bachelor's or Master’s degree in Computer Science, Engineering, Information Technology, or a related field
 * Prior experience in data analysis or data analyst roles, preferably in a startup environment
 * Exceptionally skilled in Python and SQL, with a demonstrated ability to consistently produce reusable and highly scalable code
 * An eye for detail: Looking for anomalies in the system
 * Familiarity with Linux, GitHub, product development
 * Proven experience with data visualization
 * Empathy and Urgency: to feel the customer pain and react promptly on a day-to-day basis
 * A Problem solver & go-getter: either programmatically or manually meeting customer expectations and delivering on time
 * Fluent with written and verbal in English
 * Strong ownership mindset, efficiency, and data-driven approach
 * Good to have: basic understanding of machine learning algorithms
   
   
   

If this role sounds like you, then we would love to hear from you to discuss this great opportunity!",Not Applicable,4040035986,https://vn.linkedin.com/jobs/view/data-analyst-at-portcast-4040035986?trk=public_jobs_topcard-title,"An Giang, Vietnam",2 months ago,,,2024-10-01,,"Transportation, Logistics, Supply Chain and Storage",Data Analyst,Information Technology
145 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/business-intelligence-bugdet-planning-shopeepay-at-shopee-4074248881?trk=public_jobs_topcard-title,,6451760,Shopee,https://sg.linkedin.com/company/shopee?trk=public_jobs_topcard-org-name,Full-time,"* Critically evaluate and define business metrics; develop analysis that lead to actionable insights to support the continuous improvement of the Payment business
 * Consolidate data from multiple sources including operations, marketing and source databases to create integrated views that can be used to drive decision making
 * Work closely with stakeholders to understand their needs/ pain points to scope up their problems and enhance internal processes through automation and improve productivity
 * Work with several large and complex SQL databases
 * Utilize established data warehousing practices and data visualizations
 * Other ad-hocs tasks as Management team requirement




Requirement:

 * With min 1 year experience in Data process and analyzing field
 * Graduating with a Bachelor’s degree and above in Statistics, Business, Data Analytics, and other related fields
 * Proficient in one of the technical tools: Excel, PPT
 * Familiar with data visualization tools
 * Entrepreneurial spirit and start-up mindset
 * Work well with cross-functional teams in a fast-paced environment
 * Ability to demonstrate a high level of verbal and written English to coordinate with internal stakeholders across the region is a plus
 * Excellent analytical, problem-solving, and decision-making skills
 * A fast learner who is meticulous and detail-oriented
 * Fintech/Credit/E-commerce companies is a plus
 * Have SQL or Python is an big advance",Associate,4074248881,https://vn.linkedin.com/jobs/view/business-intelligence-bugdet-planning-shopeepay-at-shopee-4074248881?trk=public_jobs_topcard-title,"Ho Chi Minh City, Vietnam",4 weeks ago,Yen Pham,https://vn.linkedin.com/in/yen-pham-recruiter-shopee,2024-11-14,,Financial Services,"Business Intelligence - Bugdet & Planning, ShopeePay",Other
38 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/data-scientist-at-renesas-electronics-4046397269?trk=public_jobs_topcard-title,,934588,Renesas Electronics,https://jp.linkedin.com/company/renesas?trk=public_jobs_topcard-org-name,Full-time,"Job Description

About this role

As a data scientist you will apply advanced analytical techniques to large and complex datasets to generate insights and solutions for business problems.

About Our Team

Our global AI, Data & Analytics Division at Renesas is experiencing an increasing demand for AI and Generative AI (LLM) based solutions. Working closely with our business partners, we deliver AI solutions to help drive value for Renesas at a global enterprise scale.We are seeking passionate candidates that will thrive as part of a global team of technologists that love empowering customers, collaborating with teammates, and using the latest AI and Data technologies.

Responsibilities


 * Preprocess structured and unstructured data for approaches such as RAG architecture.
 * Aggregate, clean, and analyze data from various sources using Databricks tools and frameworks.
 * Provide detailed data insights.
 * Collaborate with other data scientists, data engineers, and domain experts on cross-functional projects using Databricks Workspaces.
 * Keep up to date with the latest developments and trends in data science and Databricks technologies.
   
   

Qualifications

Must Have


 * Bachelor's degree or higher in computer science, statistics, mathematics, or a related field.
 * Proficiency in data engineering including data preprocessing for RAG, data platforms, and analytics with a strong track record of successful projects and in-depth knowledge of industry best practices.
 * Strong statistical analysis skills.
 * Proficient in Python, R, SQL, and other programming languages for data analysis and manipulation.
 * Familiarity with Databricks products and services.
 * Have working knowledge of CI/CD.
 * Strong communication, documentation, and white-boarding skills.
 * Creative, curious, and problem-solving mindset.
   
   

Strongly Preferred


 * Databricks certifications.
 * Experience working with Databricks products.
 * Working knowledge of at least one major cloud ecosystem (AWS, Azure, or GCP). Azure is preferred.
 * Knowledge in LLM actual use cases.
 * Experience working with a geographically distributed and cross-functional team including systems integrators and third-party companies.
   
   

Additional Information

Renesas is an embedded semiconductor solution provider driven by its purpose ‘To Make Our Lives Easier.’ As the industry’s leading expert in embedded processing with unmatched quality and system-level know-how, we have evolved to provide scalable and comprehensive semiconductor solutions based on the broadest product portfolio, including High Performance Computing, Embedded Processing, Analog & Connectivity, and Power.

With a diverse team of over 21,000 professionals in more than 30 countries, we continue to expand our boundaries to offer enhanced user experiences through digitalization and usher into a new era of innovation. We remain agile and fearless as we accelerate our growth, encouraging everyone to play an active role with an entrepreneurial mindset and accountability.

At Renesas, You Can


 * Launch and advance your career in technical and business roles across four Product Groups and various corporate functions. You will have the opportunities to explore our hardware and software capabilities and try new things.
 * Make a real impact by developing automotive, industrial, infrastructure, IoT, and sustainable products and solutions to meet our customers’ evolving needs and help people and communities thrive tomorrow.
 * Maximize your performance and wellbeing in our flexible and inclusive work environment. Our people-first culture and global support system, including the remote work option and Employee Resource Groups (ERGs), will help you excel from the first day.
   
   

Are you ready to own your success and make your mark?

Join Renesas. Let’s Shape the Future together.

Renesas Electronics is an equal opportunity and affirmative action employer, committed to supporting diversity and fostering a work environment free of discrimination on the basis of sex, race, religion, national origin, gender, gender identity, gender expression, age, sexual orientation, military status, veteran status, or any other basis protected by law. For more information, please read our Diversity & Inclusion Statement.",Associate,4046397269,https://vn.linkedin.com/jobs/view/data-scientist-at-renesas-electronics-4046397269?trk=public_jobs_topcard-title,Ho Chi Minh City Metropolitan Area,1 month ago,,,2024-10-15,,Semiconductors,Data Scientist,Manufacturing
163 applicants,EASY_APPLY,https://vn.linkedin.com/jobs/view/middle-senior-data-analyst-at-tymex-4040644996?trk=public_jobs_topcard-title,,75603963,TymeX,https://vn.linkedin.com/company/lifeattymex?trk=public_jobs_topcard-org-name,Full-time,"We are seeking a skilled and motivated Data Analyst to join our team. The successful candidate will be responsible for collecting, analyzing, and interpreting large sets of data to identify trends and insights. The Data Analyst will work closely with the business stakeholders to understand their needs, analyze large datasets to find improvement opportunities, and provide actionable recommendations for Business stakeholders.

Job Responsibilities:


 * Collect, analyze and interpret large sets of data using statistical methods and data analysis tools
 * Collaborate with business stakeholders to identify the improvement opportunities
 * Draw conclusions from findings from data analysis & recommend actionable strategies to the Business stakeholders
 * Develop and maintain data analysis documentation based on findings
 * Continuously monitor data quality and identify opportunities for data quality improvements.
 * Strong written and verbal communication - to communicate across business lines and be able to communicate with non-native data stakeholders
 * Create and maintain data sets, reports, and dashboards to support business decisions and performance tracking.
 * Work with data structures and metadata to ensure consistency, security, and accessibility.
   
   
   

Requirements


 * Bachelor's degree in Mathematics, Computer Science, Economics, or related fields
 * 2+ years experienced as a data analyst, having actual impact on business based on insight is preferred
 * Strong SQL, Python or Pyspark with the ability to learn
 * Fluent in English (Interviews will be conducted in English)
 * Proven analytic skills, including reporting, mining, evaluation, analysis, and visualization
 * Technical writing experience in relevant areas, including queries, reports, and presentations
   
   
   

Preferred Qualifications:


 * At least 2 years working in a data analytics reporting role
 * Background in statistics and business/data modeling
   
   
   

Benefits


 * Meal and parking allowance are covered by the company
 * Full benefits and salary rank during probation
 * Insurances as Vietnamese labor law and premium health care for you and your family without seniority compulsory
 * Performance bonus up to 2 months
 * 13th month salary pro-rata
 * 15-day annual leave+ 3-day sick leave + 1 birthday leave + 1 Christmas leave
 * SMART goals and clear career opportunities (technical seminar, conference, and career talk) - we focus on your development
 * Values-driven, international working environment, and agile culture
 * Overseas travel opportunities for training and working related
 * Internal Hackathons and company's events (team building, coffee run, blue card...)
 * Work-life balance 40-hr per week from Mon to Fri",Mid-Senior level,4040644996,https://vn.linkedin.com/jobs/view/middle-senior-data-analyst-at-tymex-4040644996?trk=public_jobs_topcard-title,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 months ago,,,2024-10-02,,Non-profit Organizations and Primary and Secondary Education,Middle/Senior Data Analyst,Analyst
